drug_name,drug_class,recommended_temp,temperature_exposure,humidity,exposure_hours,stability_index,risk_label
Insulin,Biologic,8,37.850612408132605,58.20124102617433,11.943971053491552,5,High
Insulin,Biologic,8,36.77594445255509,42.043392405737386,8.125450746174623,5,High
Insulin,Biologic,8,25.019628996456454,56.67571075379499,7.6909266231814275,5,High
Aspirin,Analgesic,25,36.232678945792316,70.84192517087436,5.774401674664344,3,High
Metformin,Antidiabetic,25,33.65894319020078,66.99630491329384,8.468562545131888,2,High
Metformin,Antidiabetic,25,34.16499214389519,66.2008141238719,4.239329777748294,2,High
Metformin,Antidiabetic,25,31.893921965440185,58.25707216367901,5.78757400755977,2,High
Paracetamol,Analgesic,30,36.4299016531722,54.584740313493285,6.255319933278317,2,High
Paracetamol,Analgesic,30,40.30891081480769,42.391412946527566,5.399918088324975,2,High
Amoxicillin,Antibiotic,25,25.457669009413483,60.84663112303373,11.8104945958692,4,Moderate
Insulin,Biologic,8,41.82942650051251,64.32453652251247,11.99423431990229,5,High
Metformin,Antidiabetic,25,34.99291594377906,53.584508823135636,8.98631915109798,2,High
Insulin,Biologic,8,32.08640246902865,45.855389926408876,1.0405068337550505,5,High
Amoxicillin,Antibiotic,25,40.317217144157595,46.68947100944717,1.1453455731565723,4,High
Aspirin,Analgesic,25,27.253292573072205,76.16901411507222,7.1000037089624914,3,Moderate
Paracetamol,Analgesic,30,25.808827115013095,57.144829174879405,8.33781779051382,2,Low
Aspirin,Analgesic,25,39.56753813220096,58.22893741443569,10.04162475418397,3,High
Amoxicillin,Antibiotic,25,39.946674500353744,72.12522981895049,4.598667448931409,4,High
Paracetamol,Analgesic,30,41.53090488552917,45.697286595707695,1.552520856090815,2,Moderate
Amoxicillin,Antibiotic,25,26.816501732608838,55.45388927126931,7.881825952073325,4,High
Metformin,Antidiabetic,25,38.45307726551131,75.30638646214123,2.4595498333918346,2,High
Aspirin,Analgesic,25,34.25745607885267,50.00037274060019,11.958678634650989,3,High
Aspirin,Analgesic,25,35.45065144955752,79.70200476609108,5.973269774080051,3,High
Aspirin,Analgesic,25,23.866792391271716,61.78584190652893,7.273545210693715,3,Low
Amoxicillin,Antibiotic,25,34.76541039326098,69.66590135604251,7.740135838337016,4,High
Metformin,Antidiabetic,25,25.803467352174714,72.87693108212613,5.179625208477697,2,Low
Metformin,Antidiabetic,25,21.318190767925543,66.93600534624503,10.324502306554235,2,Low
Metformin,Antidiabetic,25,44.22614863203932,68.54114888616884,1.6726471339890105,2,High
Paracetamol,Analgesic,30,33.545520051693245,63.30555950871473,8.591489595250145,2,High
Aspirin,Analgesic,25,30.229898612547437,40.64528078752313,2.5127127053392146,3,Moderate
Aspirin,Analgesic,25,40.400550920573224,69.92782796506657,3.630633633432596,3,High
Aspirin,Analgesic,25,20.630920245508634,58.14948721786515,6.618616342786909,3,Low
Aspirin,Analgesic,25,27.690620693045116,65.14591058124775,5.144922881444099,3,Moderate
Amoxicillin,Antibiotic,25,39.5642500545963,44.022523617765465,2.0054368041404915,4,High
Paracetamol,Analgesic,30,42.49381272810979,65.55144960663935,9.633657133285388,2,High
Aspirin,Analgesic,25,40.00873419347076,62.27785207386723,9.859315730929627,3,High
Insulin,Biologic,8,37.060023559389535,73.90187606041795,4.083422090671096,5,High
Insulin,Biologic,8,39.639465416019476,50.72535873434042,10.109555830983343,5,High
Paracetamol,Analgesic,30,39.38719722138215,75.11526946431047,3.4853875795474445,2,High
Metformin,Antidiabetic,25,26.488825125308345,68.66227527170463,2.053793195390295,2,Low
Amoxicillin,Antibiotic,25,35.248723434356364,70.24621730398309,7.446195950601844,4,High
Paracetamol,Analgesic,30,23.98020159615924,56.98990770569108,2.2449177371723597,2,Low
Insulin,Biologic,8,27.604181521311205,43.67050121295848,6.904776866043598,5,High
Aspirin,Analgesic,25,22.087189266217802,61.66124270785912,7.299069663668365,3,Low
Metformin,Antidiabetic,25,29.022223888498058,64.845171698285,7.735035371893623,2,High
Amoxicillin,Antibiotic,25,31.713803709857565,77.5240271975088,3.7555975202299603,4,High
Amoxicillin,Antibiotic,25,33.25773410204822,49.38819717335896,1.968312802047117,4,High
Amoxicillin,Antibiotic,25,41.188949529393426,43.16901965898409,6.809396789392211,4,High
Insulin,Biologic,8,37.21615575859325,43.14770034791607,6.528106726265158,5,High
